,boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080sdg,201909080sdg,8-Sep,9/8/2019,Sun,3,3,1,1,0,0,1,Home,CLT,Indianapolis Colts,TRUE,34,73.5,25,3,310,9.1,24,30,98,2,118.5,Win,21,1,125,6,11,7,32:50:00,4,Reg,1,23
201909150det,201909150det,15-Sep,9/15/2019,Sun,1,1,3,1,0,0,1,Away,DET,Detroit Lions,FALSE,36,58.3,21,0,287,8,13,10,202,4,72.3,Loss,25,1,137,5.5,13,6,31:19:00,1,Reg,2,6
201909220sdg,201909220sdg,22-Sep,9/22/2019,Sun,2,2,2,2,3,2,0,Home,HTX,Houston Texans,FALSE,46,67.4,31,2,293,6.4,27,20,193,4,99.3,Loss,18,0,73,4.1,15,5,31:48:00,5,Reg,3,25
201909290mia,201909290mia,29-Sep,9/29/2019,Sun,3,3,3,3,1,0,0,Away,MIA,Miami Dolphins,FALSE,31,80.6,25,2,311,10,10,30,0,0,130,Win,33,1,79,2.4,13,8,37:36:00,1,Reg,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080cle,201909080cle,8-Sep,9/8/2019,Sun,2,1,0,0,2,0,3,Home,OTI,Tennessee Titans,FALSE,38,65.8,25,1,244,6.4,43,13,233,5,59.5,Loss,20,1,102,5.1,10,1,30:42:00,5,Reg,1,41
201909160nyj,201909160nyj,16-Sep,9/16/2019,Mon,2,2,3,3,0,0,1,Away,NYJ,New York Jets,FALSE,35,54.3,19,1,305,8.7,3,23,231,6,81.2,Win,21,1,70,3.3,13,4,29:41:00,3,Reg,2,20
201909220cle,201909220cle,22-Sep,9/22/2019,Sun,1,1,2,2,2,0,1,Home,RAM,Los Angeles Rams,FALSE,36,50,18,1,175,4.9,20,13,240,6,61.7,Loss,24,0,95,4,16,6,31:37:00,3,Reg,3,20
201909290rav,201909290rav,29-Sep,9/29/2019,Sun,4,4,2,2,1,1,1,Away,RAV,Baltimore Ravens,FALSE,31,64.5,20,1,337,10.9,25,40,127,3,98.5,Win,29,4,193,6.7,13,6,30:17:00,1,Reg,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080dal,201909080dal,8-Sep,9/8/2019,Sun,2,2,1,1,3,1,0,Away,DAL,Dallas Cowboys,FALSE,48,68.8,33,1,319,6.6,35,17,166,4,94,Loss,17,1,151,8.9,11,2,27:42:00,1,Reg,1,4
201909150nyg,201909150nyg,15-Sep,9/15/2019,Sun,2,2,1,0,2,1,2,Home,BUF,Buffalo Bills,FALSE,45,57.8,26,1,241,5.4,28,14,242,5,61.4,Loss,20,1,129,6.5,12,3,27:22:00,1,Reg,2,9
201909220tam,201909220tam,22-Sep,9/22/2019,Sun,3,3,1,1,1,1,0,Away,TAM,Tampa Bay Buccaneers,FALSE,36,63.9,23,2,312,8.7,31,32,244,5,110,Win,19,2,72,3.8,13,6,26:48:00,5,Reg,3,24
201909290nyg,201909290nyg,29-Sep,9/29/2019,Sun,3,3,1,1,1,1,2,Home,WAS,Washington Redskins,FALSE,31,74.2,23,1,225,7.3,3,24,165,3,78,Win,37,1,164,4.4,13,8,36:09:00,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909050chi,201909050chi,5-Sep,9/5/2019,Thu,1,1,1,1,0,0,0,Away,CHI,Chicago Bears,FALSE,30,60,18,1,166,5.5,3,10,428,9,86.2,Win,22,0,47,2.1,12,2,31:03:00,5,Reg,1,37
201909150gnb,201909150gnb,15-Sep,9/15/2019,Sun,3,3,0,0,1,0,0,Home,MIN,Minnesota Vikings,FALSE,34,64.7,22,2,191,5.6,16,21,381,8,99,Win,33,1,144,4.4,15,5,34:06:00,2,Reg,2,18
201909220gnb,201909220gnb,22-Sep,9/22/2019,Sun,3,3,3,2,0,0,0,Home,DEN,Denver Broncos,FALSE,29,58.6,17,1,235,8.1,16,27,212,4,96.2,Win,23,2,77,3.3,9,2,24:26:00,0,Reg,3,0
201909260gnb,201909260gnb,26-Sep,9/26/2019,Thu,3,3,2,2,1,0,1,Home,PHI,Philadelphia Eagles,FALSE,53,64.2,34,2,414,7.8,34,27,83,2,92.8,Loss,20,1,77,3.9,11,6,32:21:00,1,Reg,4,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080jax,201909080jax,8-Sep,9/8/2019,Sun,2,2,2,2,0,0,1,Home,KAN,Kansas City Chiefs,FALSE,33,81.8,27,3,347,10.5,40,26,96,2,128.2,Loss,16,0,81,5.1,10,5,28:45:00,1,Reg,1,3
201909150htx,201909150htx,15-Sep,9/15/2019,Sun,0,0,2,2,2,2,0,Away,HTX,Houston Texans,FALSE,33,69.7,23,1,178,5.4,13,12,288,6,92.7,Loss,21,0,103,4.9,13,3,30:01:00,4,Reg,2,35
201909190jax,201909190jax,19-Sep,9/19/2019,Thu,2,2,2,2,1,0,0,Home,OTI,Tennessee Titans,FALSE,30,66.7,20,2,204,6.8,7,20,252,6,108.2,Win,20,0,88,4.4,11,2,24:44:00,0,Reg,3,0
201909290den,201909290den,29-Sep,9/29/2019,Sun,2,2,4,4,1,1,0,Away,DEN,Denver Broncos,FALSE,33,57.6,19,2,186,5.6,24,26,273,6,93.7,Win,38,0,269,7.1,14,4,39:12:00,5,Reg,4,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909090nor,201909090nor,9-Sep,9/9/2019,Mon,3,3,4,3,0,0,1,Home,HTX,Houston Texans,FALSE,43,74.4,32,2,362,8.4,28,30,88,2,105,Win,21,1,148,7,11,7,30:13:00,1,Reg,1,8
201909150ram,201909150ram,15-Sep,9/15/2019,Sun,0,0,3,3,1,0,1,Away,RAM,Los Angeles Rams,FALSE,35,57.1,20,0,187,5.3,27,9,244,5,60.1,Loss,20,0,57,2.9,13,4,29:39:00,2,Reg,2,16
201909220sea,201909220sea,22-Sep,9/22/2019,Sun,4,3,0,0,1,1,0,Away,SEA,Seattle Seahawks,FALSE,27,70.4,19,2,177,6.6,27,33,324,6,112.7,Win,23,1,88,3.8,11,3,28:27:00,0,Reg,3,0
201909290nor,201909290nor,29-Sep,9/29/2019,Sun,0,0,4,4,0,0,1,Home,DAL,Dallas Cowboys,FALSE,30,76.7,23,0,149,5,10,12,174,4,72.8,Win,27,0,117,4.3,14,6,36:04:00,5,Reg,4,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080min,201909080min,8-Sep,9/8/2019,Sun,4,4,0,0,0,0,0,Home,ATL,Atlanta Falcons,FALSE,10,80,8,1,97,9.7,12,28,247,5,140.4,Win,38,3,172,4.5,10,5,29:47:00,1,Reg,1,1
201909150gnb,201909150gnb,15-Sep,9/15/2019,Sun,2,1,2,1,0,0,2,Away,GNB,Green Bay Packers,FALSE,32,43.8,14,1,223,7,21,16,264,6,52,Loss,27,1,198,7.3,13,4,25:54:00,1,Reg,2,7
201909220min,201909220min,22-Sep,9/22/2019,Sun,4,4,2,2,0,0,0,Home,RAI,Oakland Raiders,FALSE,21,71.4,15,1,174,8.3,14,34,95,2,112,Win,38,3,211,5.6,9,5,31:32:00,0,Reg,3,0
201909290chi,201909290chi,29-Sep,9/29/2019,Sun,0,0,0,0,2,1,0,Away,CHI,Chicago Bears,FALSE,36,75,27,0,182,5.1,16,6,235,5,85.6,Loss,16,1,40,2.5,13,5,24:33:00,6,Reg,4,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909090rai,201909090rai,9-Sep,9/9/2019,Mon,3,3,1,1,0,0,0,Home,DEN,Denver Broncos,FALSE,26,84.6,22,1,259,10,16,24,134,3,121,Win,28,2,98,3.5,14,10,32:45:00,0,Reg,1,0
201909150rai,201909150rai,15-Sep,9/15/2019,Sun,1,1,1,1,1,1,2,Home,KAN,Kansas City Chiefs,FALSE,38,60.5,23,1,178,4.7,28,10,264,6,58.9,Loss,19,0,129,6.8,14,6,27:25:00,3,Reg,2,20
201909220min,201909220min,22-Sep,9/22/2019,Sun,2,2,1,0,3,2,1,Away,MIN,Minnesota Vikings,FALSE,34,79.4,27,2,214,6.3,34,14,217,4,100.2,Loss,20,0,88,4.4,11,3,28:28:00,4,Reg,3,28
201909290clt,201909290clt,29-Sep,9/29/2019,Sun,4,4,1,1,1,1,0,Away,CLT,Indianapolis Colts,FALSE,31,67.7,21,2,189,6.1,24,31,253,5,105.4,Win,32,1,188,5.9,12,5,33:41:00,1,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909090nor,201909090nor,9-Sep,9/9/2019,Mon,4,4,0,0,1,1,1,Away,NOR,New Orleans Saints,FALSE,30,66.7,20,3,234,7.8,30,28,172,4,109.6,Loss,23,1,180,7.8,13,7,29:47:00,6,Reg,1,34
201909150htx,201909150htx,15-Sep,9/15/2019,Sun,1,1,2,2,1,1,0,Home,JAX,Jacksonville Jaguars,FALSE,29,55.2,16,0,137,4.7,12,13,307,7,67.7,Win,30,1,126,4.2,15,6,29:59:00,4,Reg,2,22
201909220sdg,201909220sdg,22-Sep,9/22/2019,Sun,4,3,1,0,0,0,0,Away,SDG,Los Angeles Chargers,FALSE,34,73.5,25,3,337,9.9,20,27,180,4,134.1,Win,19,1,39,2.1,10,6,28:12:00,2,Reg,3,14
201909290htx,201909290htx,29-Sep,9/29/2019,Sun,1,1,2,1,0,0,1,Home,CAR,Carolina Panthers,FALSE,34,61.8,21,0,128,3.8,16,10,257,5,57,Loss,22,1,136,6.2,11,4,29:22:00,6,Reg,4,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080nyj,201909080nyj,8-Sep,9/8/2019,Sun,2,2,1,1,1,0,2,Away,NYJ,New York Jets,FALSE,37,64.9,24,1,242,6.5,16,17,130,3,69.9,Win,25,1,128,5.1,10,5,27:59:00,1,Reg,1,12
201909150nyg,201909150nyg,15-Sep,9/15/2019,Sun,4,4,0,0,0,0,0,Away,NYG,New York Giants,FALSE,30,63.3,19,1,237,7.9,14,28,325,7,98.9,Win,34,3,151,4.4,13,5,32:38:00,3,Reg,2,16
201909220buf,201909220buf,22-Sep,9/22/2019,Sun,1,1,3,2,0,0,1,Home,CIN,Cincinnati Bengals,FALSE,36,63.9,23,1,241,6.7,17,21,173,5,80.9,Win,36,1,175,4.9,13,5,36:54:00,1,Reg,3,2
201909290buf,201909290buf,29-Sep,9/29/2019,Sun,1,1,2,1,2,1,4,Home,NWE,New England Patriots,FALSE,44,50,22,0,240,5.5,16,10,180,6,28.6,Loss,22,1,135,6.1,13,2,32:40:00,5,Reg,4,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080nwe,201909080nwe,8-Sep,9/8/2019,Sun,0,0,1,1,3,1,1,Away,NWE,New England Patriots,FALSE,47,57.4,27,0,276,5.9,33,3,228,5,65.6,Loss,13,0,32,2.5,12,3,27:27:00,1,Reg,1,0
201909150pit,201909150pit,15-Sep,9/15/2019,Sun,2,2,2,2,0,0,1,Home,SEA,Seattle Seahawks,FALSE,34,58.8,20,2,180,5.3,28,26,224,5,80.5,Loss,16,1,81,5.1,11,3,24:14:00,1,Reg,2,7
201909220sfo,201909220sfo,22-Sep,9/22/2019,Sun,2,2,2,2,1,0,1,Away,SFO,San Francisco 49ers,FALSE,27,51.9,14,2,160,5.9,24,20,314,6,79.2,Loss,22,0,79,3.6,12,3,23:43,2,Reg,3,14
201909300pit,201909300pit,30-Sep,9/30/2019,Mon,3,3,2,2,1,0,0,Home,CIN,Cincinnati Bengals,FALSE,31,87.1,27,2,260,8.4,3,27,99,2,123.1,Win,25,1,66,2.6,9,3,29:46:00,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080crd,201909080crd,8-Sep,9/8/2019,Sun,1,1,4,4,0,0,1,Home,DET,Detroit Lions,TRUE,54,53.7,29,2,275,5.1,27,27,380,8,72.7,Win,23,0,112,4.9,22,9,30:37:00,5,Reg,1,33
201909150rav,201909150rav,15-Sep,9/15/2019,Sun,0,0,3,3,1,1,0,Away,RAV,Baltimore Ravens,FALSE,40,62.5,25,0,329,8.2,23,17,267,5,88.4,Loss,11,1,20,1.8,11,2,22:22,3,Reg,2,20
201909220crd,201909220crd,22-Sep,9/22/2019,Sun,2,2,2,2,1,1,2,Home,CAR,Carolina Panthers,FALSE,43,69.8,30,2,127,3,38,20,212,5,68.8,Loss,22,0,121,5.5,17,9,31:44:00,8,Reg,3,46
201909290crd,201909290crd,29-Sep,9/29/2019,Sun,1,1,3,1,0,0,1,Home,SEA,Seattle Seahawks,FALSE,32,68.8,22,0,206,6.4,27,10,141,3,73.2,Loss,23,1,115,5,9,3,26:36:00,4,Reg,4,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909080min,201909080min,8-Sep,9/8/2019,Sun,0,0,0,0,2,2,2,Away,MIN,Minnesota Vikings,FALSE,46,71.7,33,2,272,5.9,28,12,130,4,82.9,Loss,17,0,73,4.3,8,2,30:13:00,4,Reg,1,32
201909150atl,201909150atl,15-Sep,9/15/2019,Sun,3,3,2,1,1,1,3,Home,PHI,Philadelphia Eagles,FALSE,43,62.8,27,3,310,7.2,20,24,118,3,78.6,Win,17,0,57,3.4,10,3,27:06:00,1,Reg,2,10
201909220clt,201909220clt,22-Sep,9/22/2019,Sun,3,3,1,1,0,0,1,Away,CLT,Indianapolis Colts,FALSE,34,85.3,29,3,304,8.9,27,24,39,1,121.1,Loss,20,0,93,4.7,10,8,28:37:00,0,Reg,3,0
201909290atl,201909290atl,29-Sep,9/29/2019,Sun,1,1,2,1,4,1,0,Home,OTI,Tennessee Titans,FALSE,53,66,35,0,364,6.9,24,10,129,3,85.7,Loss,17,1,58,3.4,14,5,30:41:00,5,Reg,4,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909090rai,201909090rai,9-Sep,9/9/2019,Mon,1,1,4,3,0,0,0,Away,RAI,Oakland Raiders,FALSE,31,67.7,21,1,249,8,24,16,143,3,102.8,Loss,23,0,95,4.1,13,6,27:15:00,3,Reg,1,19
201909150den,201909150den,15-Sep,9/15/2019,Sun,0,0,2,2,3,3,1,Home,CHI,Chicago Bears,FALSE,50,70,35,1,282,5.6,16,14,200,5,82.2,Loss,24,0,90,3.8,14,3,32:59:00,2,Reg,2,10
201909220gnb,201909220gnb,22-Sep,9/22/2019,Sun,2,1,1,1,2,1,1,Away,GNB,Green Bay Packers,FALSE,29,69,20,0,161,5.6,27,16,148,3,68.3,Loss,38,2,149,3.9,15,8,35:34:00,6,Reg,3,52
201909290den,201909290den,29-Sep,9/29/2019,Sun,3,3,1,1,0,0,1,Home,JAX,Jacksonville Jaguars,FALSE,38,57.9,22,3,303,8,26,24,271,6,98.9,Loss,16,0,68,4.3,11,4,20:48,0,Reg,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909050chi,201909050chi,5-Sep,9/5/2019,Thu,0,0,1,1,2,0,1,Home,GNB,Green Bay Packers,FALSE,45,57.8,26,0,208,4.6,10,3,341,8,60.2,Loss,15,0,46,3.1,15,3,28:57:00,5,Reg,1,20
